country,created_at,total_tweets,total_unique_user_ids
Ireland,20,166,130
Ecuador,5,165,112
Ecuador,13,165,104
Pakistan,13,165,111
Colombia,29,162,126
Pakistan,12,162,113
Australia,19,161,129
Ecuador,20,161,106
Australia,12,160,129
Ecuador,21,160,105
Australia,30,159,131
Ecuador,22,159,119
Ecuador,23,159,112
Ecuador,27,159,114
Ecuador,26,156,115
Ireland,29,154,135
Pakistan,27,152,113
Australia,14,147,116
Pakistan,21,146,111
Ireland,26,143,119
Ecuador,30,140,101
Ireland,28,139,119
Australia,23,136,111
Ireland,12,133,107
Australia,25,131,111
Ireland,30,125,114
Pakistan,28,120,91
Germany,13,115,87
Australia,13,101,73
Pakistan,29,101,80
Ireland,13,77,56
